Title | Type | SJR | H index | Total Docs. (2023) | Total Docs. (3years) | Total Refs. (2023) | Total Cites (3years) | Citable Docs. (3years) | Cites / Doc. (2years) | Ref. / Doc. (2023) | %Female (2023) | 
1 | Ca-A Cancer Journal for Clinicians | journal | 106.094 Q1 | 211 | 49 | 124 | 4844 | 35427 | 89 | 381.89 | 98.86 | 43.95 | 
2 | Foundations and Trends in Machine Learning | journal | 37.044 Q1 | 39 | 3 | 13 | 897 | 955 | 13 | 100.11 | 299.00 | 27.78 | 
3 | Nature Reviews Molecular Cell Biology | journal | 35.910 Q1 | 508 | 123 | 336 | 11462 | 13599 | 153 | 34.50 | 93.19 | 29.41 | 
4 | Quarterly Journal of Economics | journal | 30.448 Q1 | 306 | 47 | 136 | 3645 | 2240 | 136 | 11.14 | 77.55 | 26.67 | 
5 | Nature Reviews Cancer | journal | 26.837 Q1 | 505 | 105 | 304 | 10805 | 10951 | 163 | 31.23 | 102.90 | 44.33 | 
6 | Cell | journal | 24.342 Q1 | 892 | 439 | 1496 | 32820 | 53447 | 1207 | 31.30 | 74.76 | 40.19 | 
7 | Nature Reviews Drug Discovery | journal | 22.399 Q1 | 391 | 239 | 731 | 8584 | 13091 | 153 | 19.72 | 35.92 | 34.15 | 
8 | American Economic Review | journal | 22.344 Q1 | 359 | 95 | 353 | 6242 | 4811 | 351 | 10.33 | 65.71 | 23.89 | 
9 | Nature Reviews Materials | journal | 21.836 Q1 | 184 | 117 | 335 | 8842 | 13775 | 196 | 31.17 | 75.57 | 26.86 | 
10 | Nature Reviews Clinical Oncology | journal | 21.048 Q1 | 217 | 127 | 400 | 9888 | 10807 | 183 | 28.36 | 77.86 | 38.85 | 
11 | New England Journal of Medicine | journal | 20.544 Q1 | 1184 | 1388 | 4522 | 14603 | 107246 | 1824 | 21.69 | 10.52 | 38.26 | 
12 | Journal of Finance | journal | 19.139 Q1 | 352 | 83 | 227 | 5043 | 1938 | 221 | 7.00 | 60.76 | 16.91 | 
