 
 List of accepted papers  

 Paper ID | Presentation Mode | Papper Title | List of Authors 
 7 | ORAL | CEM-DIT: Context Entropy Model with Dual Interactive Transformer for Point Cloud Geometry Compression | Xinjie Wang (National University of Defense Technology); yifan zhang (National University of Defense Technology); Ke Xu (National University of Defense Technology); jianwei wan (National University of Defense Technology); Yulan Guo (National University of Defense Technology); Hanyun Wang (Information Engineering University)* 
 8 | ORAL | EFITFormer: Enhanced Feature Interaction Transformer for 3D Point Cloud Understanding | Qi Zhong (Southwest University); Yun Ye (Southwest University); Xian-Feng Han (Southwest University)* 
 12 | ORAL | MMCBE: Multi-modality Dataset for Crop Biomass Estimation and Beyond | Xuesong li (Australia national university)*; Zeeshan Hayder (CSIRO); Ali Zia (Australian National University); Connor B Cassidy (CSIRO); Shiming Liu (CSIRO); Warwick Stiller (CSIRO); Eric A Stone (The Australian National University); Warren Conaty (CSIRO); Lars Petersson (Data61/CSIRO); Vivien Rolland (CSIRO) 
 13 | ORAL | Evidence-aware multi-modal data fusion and its application to total knee replacement prediction | Xinwen Liu (UQ)*; Jing Wang (CSIRO); S. Kevin Zhou (USTC); Craig Engstrom (The University of Queensland); Shekhar S Chandra (University of Queensland) 
 14 | ORAL | Dynamic View Synthesis of Thin Structures with Short-term Movements from Monocular Videos using Neural Radiance Fields | Uchitha Rajapaksha (Murdoch University); Hamid Laga (Murdoch University, Australia); Dean A Diepeveen (Murdoch University); Mohammed Bennamoun (University of Western Australia); Ferdous Sohel (Murdoch University)* 
 15 | ORAL | TemporalSwin-FPN Net: A Novel Pipeline for Metadata-Driven Sequence Classification in Camera Trap Imagery | Sameeruddin Muhammad (La Trobe University)*; Wei Xiang (La Trobe University); Scott Mann (La Trobe University); Kang Han (La Trobe University); Supriya Nair (OutofBox Solutions Tech Pty Ltd) 
 18 | ORAL | LatentForensics: Towards frugal deepfake detection in the StyleGAN latent space | Matthieu Delmas (CentraleSupélec)*; Renaud SEGUIER (CENTRALESUPELEC) 
 19 | ORAL | Point-supervised Seagrass Segmentation for 3D Underwater Habitat Mapping | Miaohua Zhang (CSIRO)*; Rodrigo Santa Cruz (CSIRO); Yulia Arzhaeva (CSIRO Data61); Xun Li (CSIRO); Brendan NV Do (CSIRO ); Jeremy K Oorloff (CSIRO ); Mohammad Ali Armin (CSIRO(Data61)); Zeeshan Hayder (CSIRO); David Ahmedt-Aristizabal (CSIRO(Data61)) 
 20 | ORAL | Unified Retrieval and Reranking Paradigm for Aerial-Ground Cross-Source 3D Place Recognition | Zhixuan Gu (Sun Yat-sen University); Sheng Ao (Sun Yat-sen University); Minglin Chen (Sun Yat-sen University); Yan Liu (Sun Yat-sen University); Ye Zhang (the School of Electronics and Communication Engineering, Sun Yat-sen University); Yulan Guo (Sun Yat-sen University)* 
 23 | ORAL | Characterising Heavy Mineral Concentrate Grain Morphology and Mineralogy with Computer Vision | Melvin Hartley (Portable Spectral Services)* 
 25 | ORAL | Enhancing Lightweight Face Information Detection Network with Multi-Clue Interaction and Part-Aware Supervision | Liu Jing-Hong (National Taiwan University)*; Yi Chen (National Taiwan University); 哲維 李 (National Taiwan University); Li-Chen Fu (National Taiwan University); Pei-Yung Hsiao (National University of Kaohsiung); Chih-Yuan Hsu (Automotive Research & Testing Center); YuLun Yen (ARTC) 
 27 | ORAL | Improving OCT Image Reconstruction Through Multi-Input GANs with Gated Attention | Maryam Mehdizadeh (CSIRO)*; Cara MacNish (UWA); David Alonso-Caneiro (Queensland University of Technology); Ashley Gillman (CSIRO); Sajib Saha (Commonwealth Scientific and Industrial Research Organisation); Fred Chen (UWA) 
 28 | POSTER | Uncertainty-aware Cross-modality Fusion for Visible-Infrared Object Detection | Jianyu Zhao (Sun Yat-sen University)*; Yukun Wang (Sun Yat-sen University); Ye Zhang (the School of Electronics and Communication Engineering, Sun Yat-sen University); Hanyun Wang (Information Engineering University); Yulan Guo (Sun Yat-sen University) 
 33 | ORAL | Multi-source Unsupervised Domain Adaptation for Neuron Membrane Segmentation via Feature Enhancement | Yuxiang An (The University of Sydney)*; Dongnan Liu (University of Sydney); Weidong Cai (University of Sydney) 
 34 | ORAL | DeepIcon: A Hierarchical Network for Layer-wise Icon Vectorization | Qi Bing (The University of Sydney)*; Chaoyi Zhang (University of Sydney); Weidong Cai (University of Sydney) 
 35 | POSTERL | Vision Transformers for Weakly-Supervised Microorganism Enumeration | Javier Ureña Santiago (University of Innsbruck)*; Antonio J Rodriguez-Sanchez (University of Innsbruck); Ruth Breu (University of Innsbruck); Thomas Ströhle (University of Innsbruck) 
 37 | ORAL | Multi-branch Instance Segmentation based on Active Learning | Yiran Shi (Soochow university); Xiaona Yang (Harbin University of Science and Technology); Xuefeng Zhou (Harbin University of Science and Technology); Jun Zhou (Griffith University); Bo Ding (Harbin University of Science and Technology)* 
 40 | ORAL | Dynamic SLAM using video object segmentation: A low cost setup for mobile robots | Zhiheng Tang (CSIRO); Chuong Nguyen (CSIRO Data61); Sundaram Muthu (Csiro )* 
 41 | POSTERL | ESCal: Efficient and Scalable Calibration of Camera Networks Using a Top View | Tobias Ziegler (University of Applied Sciences Landshut)*; Marcel Mueller (University of Applied Sciences Landshut); Abdelmajid Khelil (University of Applied Sciences Landshut) 
 43 | POSTERL | Developing Normative Gait Cycle Parameters for Clinical Analysis Using Human Pose Estimation | Rahm Ranjan (University of New South Wales)*; David Ahmedt-Aristizabal (CSIRO(Data61)); Mohammad Ali Armin (CSIRO(Data61)); Juno Kim (University of New South Wales) 
 44 | ORAL | LinCNNFormer: Hybrid Linear Vision Transformer based on Convolution Neural Network and Linear Attention | Edwin Kwadwo Tenagyei (Griffith University)*; Yongsheng Gao (Griffith University); Andrew Lewis (Griffith University ); Nick Nikzad (Griffith University); Jun Zhou (Griffith University) 
 46 | ORAL | oTTC: Object Time-to-Contact for Motion Estimation in Autonomous Driving | Abdul Hannan Khan (German Research Center for Artificial Intelligence (DFKI) GmbH)*; Syed Tahseen Raza Rizvi (DFKI); Dheeraj Varma Chittari Macharavtu (RPTU Kaiserslautern); Andreas Dengel (DFKI GmbH) 
 47 | ORAL | Multispectral Remote Sensing for Weed Detection in West Australian Agricultural Lands | Haitian Wang (University of Western Australia)*; Muhammad Ibrahim (Department of Primary Industries and Regional Development); Yumeng Miao (University of Western Australia); Dustin Severtson (Department of Primary Industries and Regional Development); Atif bin Mansoor (University of Western Australia, Perth); Ajmal Mian (University of Western Australia) 
 48 | ORAL | Efficient Atmospheric Correction for Onboard Processing Using Knowledge Distillation and Model Compression | Miaohua Zhang (CSIRO)*; Ali Cheraghian (CSIRO); Yi Qin (CSIRO); David J Benn (CSIRO); Therese Anne Rollan (CSIRO); Nariman Habili (Data61) 
 51 | POSTER | Boosting the Prediction of Brain Tumor using Two Stage BiGait Architecture | Saif-ur- Rehman Khan (Central South University); Zia Khan (Central South University)*; Md Zakir Hossain (Curtin University); Nicanor Mayumu (Central South University); Farhana Yasmin (Changzhou University); Younas Aziz (Central South University) 
 53 | ORAL | 3D Object Classification With Selective Multi-View Fusion And Shape Rendering | Mona Saleh Alzahrani (KFUPM); Muhammad Usman (King Fahd University of Petroleum and Minerals)*; Randah Alharbi (King Fahd University of Petroleum and Minerals); Saeed Anwar (KFUPM); Ajmal Mian (University of Western Australia); Tarek Helmy (KFUPM) 
 57 | POSTER | A Variational Autoencoder Approach For Blink Detection In Mobile Eye Tracking Devices | Mahdi Heravian Shandiz (Queensland University of Technology)*; David Alonso-Caneiro (University of the Sunshine Coast); Scott Read (Queensland University of Technology); Michael Collins (Queensland University of Technology) 
